id,relative_path,filename,extension,size_bytes,sha256,width_px,height_px,camera_make,camera_model,exif_creation,file_birthtime,file_mtime,gps_latitude,gps_longitude,duplicate_hint_from_name,duplicate_group_id,duplicate_of,session_group_id,session_index,seconds_since_prev,img_number,artifact_group_id,item_title,item_type,subject,location_guess,notes
img_0062,raw/imgs/IMG_3358.jpeg,IMG_3358.jpeg,.jpeg,1877972,7ed315894cbe7fd2b14433ab08b66a58a183d731af4f6fbce9eac35b6d567705,4032,3024,Apple,iPhone XR,2023:06:21 15:15:03,2023-06-21 15:15:03,2025-12-18 22:51:26,,,False,D0046,,S0020,2,47.0,3358,S0020,,,,,
img_0063,raw/imgs/IMG_3359.jpeg,IMG_3359.jpeg,.jpeg,2374484,96e2750f2aaa4905b2bbddc08fe132fae3f041103d943285cae37764a8712ebb,4032,3024,Apple,iPhone XR,2023:06:21 15:15:30,2023-06-21 15:15:30,2025-12-18 22:51:27,,,False,D0047,,S0020,3,27.0,3359,S0020,,,,,
img_0064,raw/imgs/IMG_3360.jpeg,IMG_3360.jpeg,.jpeg,2417974,c833957b234adcc17d893fc766aaba5bf35cbb6fe8cacd929ea126b711973e1a,4032,3024,Apple,iPhone XR,2023:06:21 15:15:56,2023-06-21 15:15:56,2025-12-18 22:51:27,,,False,D0048,,S0020,4,26.0,3360,S0020,,,,,
img_0065,raw/imgs/IMG_3361.jpeg,IMG_3361.jpeg,.jpeg,2686155,0d9c7cccfe56dbe057f2e339b3c167c60f6a7a6776443fbe248450c69b4b801a,4032,3024,Apple,iPhone XR,2023:06:21 15:21:16,2023-06-21 15:21:16,2025-12-18 22:51:28,,,False,D0049,,S0021,1,320.0,3361,S0021,,,,,
img_0066,raw/imgs/IMG_3362.jpeg,IMG_3362.jpeg,.jpeg,2395799,434bf0b309e8076f6a37c59a9c40cd3c07d1fd6c193c65f5cb00e41b5bd2cee3,4032,3024,Apple,iPhone XR,2023:06:21 15:21:24,2023-06-21 15:21:24,2025-12-18 22:51:28,,,False,D0050,,S0021,2,8.0,3362,S0021,,,,,
img_0067,raw/imgs/IMG_3363.jpeg,IMG_3363.jpeg,.jpeg,2105233,bb6c263e88abecda9f28ec323479314e27927ed09b80437f34d02c77c7962951,4032,3024,Apple,iPhone XR,2023:06:21 15:21:37,2023-06-21 15:21:37,2025-12-18 22:51:28,,,False,D0051,,S0021,3,13.0,3363,S0021,,,,,
img_0068,raw/imgs/IMG_3364.jpeg,IMG_3364.jpeg,.jpeg,1927023,1c8c8bdfa5e46e9482e16ff9ca1ce840dab442e8163e4942db3c5327f2d45aeb,4032,3024,Apple,iPhone XR,2023:06:21 15:21:53,2023-06-21 15:21:53,2025-12-18 22:51:28,,,False,D0052,,S0021,4,16.0,3364,S0021,,,,,
img_0069,raw/imgs/IMG_3365.jpeg,IMG_3365.jpeg,.jpeg,2140159,a08db295176acceef32fc4404127c29613a87f4f195764770b4e6b637997eab5,4032,3024,Apple,iPhone XR,2023:06:21 15:22:08,2023-06-21 15:22:08,2025-12-18 22:51:28,,,False,D0053,,S0021,5,15.0,3365,S0021,,,,,
img_0070,raw/imgs/IMG_3366.jpeg,IMG_3366.jpeg,.jpeg,1916493,9cb0125b8d27a59fd592335a04da4bdbd36324e3cfa5ab85e2cdb23bc0d49844,4032,3024,Apple,iPhone XR,2023:06:21 15:22:26,2023-06-21 15:22:26,2025-12-18 22:51:28,,,False,D0054,,S0021,6,18.0,3366,S0021,,,,,
img_0071,raw/imgs/IMG_3367.jpeg,IMG_3367.jpeg,.jpeg,2028360,ea3acad3bfd5e7306eaedbdda26a2cbd0c93b34e878f7d8768240a77dcd97886,4032,3024,Apple,iPhone XR,2023:06:21 15:22:38,2023-06-21 15:22:38,2025-12-18 22:51:28,,,False,D0055,,S0021,7,12.0,3367,S0021,,,,,
img_0072,raw/imgs/IMG_3368.jpeg,IMG_3368.jpeg,.jpeg,2081463,0db1690398ba8afc2a1bc70dfbd734e9da02ae745149d5f157c050a84059dce5,4032,3024,Apple,iPhone XR,2023:06:21 15:22:53,2023-06-21 15:22:53,2025-12-18 22:51:29,,,False,D0056,,S0021,8,15.0,3368,S0021,,,,,
